ID,lifestage,sex,unit_of_measure,country,recorded_year,recorded_value
84,Adult,F,Number,Poland,2020,3015.00
85,Adult,F,Number,Poland,2021,3340.00
86,Adult,F,Number,Poland,2022,3378.00
87,Adult,F,Number,Poland,2023,3628.00
88,Adult,F,Number,France,2023,2517.00
89,Adult,F,Number,Portugal,2009,613.00
90,Adult,F,Number,Croatia,2008,209.00
91,Adult,F,Number,Portugal,2010,627.00
92,Adult,F,Number,Croatia,2009,218.00
93,Adult,F,Number,Portugal,2011,711.00
94,Adult,F,Number,Croatia,2010,228.00
95,Adult,F,Number,Portugal,2012,758.00
96,Adult,F,Number,Portugal,2013,839.00
97,Adult,F,Number,Portugal,2014,835.00
98,Adult,F,Number,Portugal,2015,855.00
99,Adult,F,Number,Croatia,2011,245.00
100,Adult,F,Number,Portugal,2016,864.00
101,Adult,F,Number,Croatia,2012,202.00
102,Adult,F,Number,Portugal,2017,849.00
103,Adult,F,Number,Croatia,2013,188.00
104,Adult,F,Number,Portugal,2018,822.00
105,Adult,F,Number,Croatia,2014,182.00
106,Adult,F,Number,Portugal,2019,843.00
107,Adult,F,Number,Portugal,2020,784.00
108,Adult,F,Number,Portugal,2021,805.00
109,Adult,F,Number,Portugal,2022,872.00
110,Adult,F,Number,Croatia,2015,160.00
111,Adult,F,Number,Croatia,2016,116.00
112,Adult,F,Number,Croatia,2017,141.00
113,Adult,F,Number,Croatia,2018,164.00
114,Adult,F,Number,Portugal,2023,888.00
115,Adult,F,Number,Croatia,2019,185.00
116,Adult,F,Number,Romania,2008,1211.00
117,Adult,F,Number,Romania,2009,1194.00
118,Adult,F,Number,Romania,2010,1247.00
119,Adult,F,Number,Romania,2011,1355.00
120,Adult,F,Number,Romania,2012,1405.00
121,Adult,F,Number,Romania,2013,1539.00
122,Adult,F,Number,Romania,2014,1517.00
123,Adult,F,Number,Romania,2015,1427.00
124,Adult,F,Number,Bulgaria,2022,207.00
125,Adult,F,Number,Bulgaria,2023,227.00
126,Adult,F,Number,Croatia,2020,181.00
127,Adult,F,Number,Croatia,2021,196.00
128,Adult,F,Number,Croatia,2022,211.00
129,Adult,F,Number,Croatia,2023,217.00
130,Adult,F,Number,Hungary,2008,923.00
131,Adult,F,Number,Hungary,2009,989.00
132,Adult,F,Number,Hungary,2010,1009.00
133,Adult,F,Number,Hungary,2011,1216.00
134,Adult,F,Number,Hungary,2012,1225.00
135,Adult,F,Number,Hungary,2013,1336.00
136,Adult,F,Number,Hungary,2014,1332.00
137,Adult,F,Number,Hungary,2015,1235.00
138,Adult,F,Number,Hungary,2016,1280.00
139,Adult,F,Number,Hungary,2017,1268.00
140,Adult,F,Number,Hungary,2018,1197.00
141,Adult,F,Number,Hungary,2019,1246.00
142,Adult,F,Number,Hungary,2020,1280.00
143,Adult,F,Number,Hungary,2021,1421.00
144,Adult,F,Number,Hungary,2022,1413.00
145,Adult,F,Number,Hungary,2023,1462.00
146,Adult,F,Number,Ireland,2008,111.00
147,Adult,F,Number,Ireland,2009,123.00
148,Adult,F,Number,Ireland,2010,138.00
149,Adult,F,Number,Ireland,2011,122.00
150,Adult,F,Number,Ireland,2012,122.00
151,Adult,F,Number,Ireland,2013,122.00
152,Adult,F,Number,Ireland,2014,120.00
153,Adult,F,Number,Ireland,2015,115.00
154,Adult,F,Number,Ireland,2016,94.00
155,Adult,F,Number,Ireland,2018,166.00
156,Adult,F,Number,Romania,2016,1391.00
157,Adult,F,Number,Romania,2017,1100.00
158,Adult,F,Number,Ireland,2019,181.00
159,Adult,F,Number,Romania,2018,942.00
160,Adult,F,Number,Ireland,2020,151.00
161,Adult,F,Number,Switzerland,2008,298.00
162,Adult,F,Number,Ireland,2021,146.00
163,Adult,F,Number,Switzerland,2009,345.00
164,Adult,F,Number,Ireland,2022,204.00
165,Adult,F,Number,Ireland,2023,231.00
166,Adult,F,Number,Switzerland,2010,319.00
167,Adult,F,Number,Iceland,2008,9.00
168,Adult,F,Number,Switzerland,2011,301.00
169,Adult,F,Number,Iceland,2009,7.00
170,Adult,F,Number,Iceland,2010,8.00
171,Adult,F,Number,Iceland,2011,8.00
172,Adult,F,Number,Switzerland,2012,306.00
173,Adult,F,Number,Iceland,2012,13.00
174,Adult,F,Number,Iceland,2013,6.00
175,Adult,F,Number,Albania,2008,101.00
176,Adult,F,Number,Switzerland,2013,347.00
177,Adult,F,Number,Iceland,2014,3.00
178,Adult,F,Number,Switzerland,2014,315.00
179,Adult,F,Number,Iceland,2015,8.00
180,Adult,F,Number,Iceland,2016,7.00
181,Adult,F,Number,Iceland,2017,11.00
182,Adult,F,Number,Iceland,2018,8.00
183,Adult,F,Number,Switzerland,2015,355.00
184,Adult,F,Number,Romania,2019,923.00
185,Adult,F,Number,Iceland,2019,12.00
186,Adult,F,Number,Switzerland,2016,370.00
187,Adult,F,Number,Romania,2020,1011.00
188,Adult,F,Number,Switzerland,2017,317.00
189,Adult,F,Number,Romania,2021,1013.00
190,Adult,F,Number,Switzerland,2018,384.00
191,Adult,F,Number,Iceland,2020,8.00
192,Adult,F,Number,Romania,2022,1032.00
193,Adult,F,Number,Switzerland,2019,393.00
194,Adult,F,Number,Iceland,2021,12.00
195,Adult,F,Number,Romania,2023,1038.00
196,Adult,F,Number,Switzerland,2020,347.00
197,Adult,F,Number,Iceland,2022,12.00
198,Adult,F,Number,Albania,2009,113.00
199,Adult,F,Number,Iceland,2023,13.00
200,Adult,F,Number,Serbia,2008,321.00
201,Adult,F,Number,Italy,2008,2526.00
202,Adult,F,Number,Serbia,2009,402.00
203,Adult,F,Number,Serbia,2010,427.00
204,Adult,F,Number,Serbia,2011,423.00
205,Adult,F,Number,Italy,2009,2751.00
206,Adult,F,Number,Italy,2010,2930.00
207,Adult,F,Number,Serbia,2012,240.00
208,Adult,F,Number,Serbia,2013,402.00
209,Adult,F,Number,Italy,2011,2808.00
210,Adult,F,Number,Serbia,2014,360.00
211,Adult,F,Number,Italy,2012,2804.00
212,Adult,F,Number,Serbia,2015,357.00
213,Adult,F,Number,Italy,2013,2694.00
214,Adult,F,Number,Italy,2014,2304.00
215,Adult,F,Number,Italy,2015,2107.00
216,Adult,F,Number,Italy,2016,2285.00
217,Adult,F,Number,Serbia,2016,405.00
218,Adult,F,Number,Italy,2017,2421.00
219,Adult,F,Number,Serbia,2017,384.00
220,Adult,F,Number,Italy,2018,2576.00
221,Adult,F,Number,Serbia,2018,431.00
222,Adult,F,Number,Serbia,2019,448.00
223,Adult,F,Number,Serbia,2020,433.00
224,Adult,F,Number,Italy,2019,2663.00
225,Adult,F,Number,Serbia,2021,490.00
226,Adult,F,Number,Serbia,2022,437.00
227,Adult,F,Number,Italy,2020,2255.00
228,Adult,F,Number,Italy,2021,2237.00
229,Adult,F,Number,Serbia,2023,363.00
230,Adult,F,Number,Italy,2022,2365.00
231,Adult,F,Number,Italy,2023,2541.00
232,Adult,F,Number,Liechtenstein,2008,4.00
233,Adult,F,Number,Sweden,2008,392.00
234,Adult,F,Number,Liechtenstein,2009,9.00
235,Adult,F,Number,Sweden,2009,374.00
236,Adult,F,Number,Liechtenstein,2010,5.00
237,Adult,F,Number,Sweden,2010,394.00
238,Adult,F,Number,Sweden,2011,390.00
239,Adult,F,Number,Albania,2010,96.00
240,Adult,F,Number,Sweden,2012,362.00
241,Adult,F,Number,Liechtenstein,2011,3.00
242,Adult,F,Number,Sweden,2013,330.00
243,Adult,F,Number,Liechtenstein,2012,3.00
244,Adult,F,Number,Albania,2011,84.00
245,Adult,F,Number,Sweden,2014,332.00
246,Adult,F,Number,Liechtenstein,2013,3.00
247,Adult,F,Number,Albania,2012,82.00
248,Adult,F,Number,Liechtenstein,2014,4.00
249,Adult,F,Number,Albania,2013,89.00
250,Adult,F,Number,Sweden,2015,327.00
251,Adult,F,Number,Sweden,2016,346.00
252,Adult,F,Number,Liechtenstein,2015,3.00
253,Adult,F,Number,Sweden,2017,348.00
254,Adult,F,Number,Albania,2014,109.00
255,Adult,F,Number,Liechtenstein,2016,4.00
256,Adult,F,Number,Sweden,2018,343.00
257,Adult,F,Number,Liechtenstein,2017,4.00
258,Adult,F,Number,Liechtenstein,2018,2.00
259,Adult,F,Number,Albania,2015,121.00
260,Adult,F,Number,Albania,2016,97.00
261,Adult,F,Number,Sweden,2019,407.00
262,Adult,F,Number,Liechtenstein,2019,2.00
263,Adult,F,Number,Albania,2017,93.00
264,Adult,F,Number,Sweden,2020,438.00
265,Adult,F,Number,Liechtenstein,2020,3.00
266,Adult,F,Number,Sweden,2021,455.00
267,Adult,F,Number,Liechtenstein,2021,5.00
268,Adult,F,Number,Sweden,2022,530.00
269,Adult,F,Number,Liechtenstein,2022,2.00
270,Adult,F,Number,Albania,2018,109.00
271,Adult,F,Number,Liechtenstein,2023,2.00
272,Adult,F,Number,Lithuania,2008,355.00
273,Adult,F,Number,Sweden,2023,657.00
274,Adult,F,Number,Slovenia,2008,59.00
275,Adult,F,Number,Lithuania,2009,367.00
276,Adult,F,Number,Switzerland,2021,367.00
277,Adult,F,Number,Switzerland,2022,374.00
278,Adult,F,Number,Lithuania,2010,414.00
279,Adult,F,Number,Switzerland,2023,381.00
280,Adult,F,Number,Lithuania,2011,417.00
281,Adult,F,Number,Cyprus,2008,42.00
282,Adult,F,Number,Lithuania,2012,435.00
283,Adult,F,Number,Cyprus,2009,31.00
284,Adult,F,Number,Lithuania,2013,428.00
285,Adult,F,Number,Cyprus,2010,45.00
286,Adult,F,Number,Albania,2019,86.00
287,Adult,F,Number,Lithuania,2014,377.00
288,Adult,F,Number,Cyprus,2011,35.00
289,Adult,F,Number,Albania,2020,57.00
290,Adult,F,Number,Lithuania,2015,295.00
291,Adult,F,Number,Albania,2021,63.00
292,Adult,F,Number,Lithuania,2016,321.00
293,Adult,F,Number,Albania,2022,64.00
294,Adult,F,Number,Lithuania,2017,330.00
295,Adult,F,Number,Cyprus,2012,43.00
296,Adult,F,Number,Slovenia,2009,64.00
297,Adult,F,Number,Cyprus,2013,25.00
298,Adult,F,Number,Slovenia,2010,53.00
299,Adult,F,Number,Cyprus,2014,30.00
300,Adult,F,Number,Cyprus,2015,31.00
301,Adult,F,Number,Slovenia,2011,57.00
302,Adult,F,Number,Cyprus,2016,41.00
303,Adult,F,Number,Slovenia,2012,70.00
304,Adult,F,Number,Cyprus,2017,33.00
305,Adult,F,Number,Slovenia,2013,64.00
306,Adult,F,Number,Cyprus,2018,36.00
307,Adult,F,Number,Slovenia,2014,89.00
308,Adult,F,Number,Cyprus,2019,33.00
309,Adult,F,Number,Slovenia,2015,81.00
310,Adult,F,Number,Cyprus,2020,30.00
311,Adult,F,Number,Slovenia,2016,103.00
312,Adult,F,Number,Slovenia,2018,80.00
313,Adult,F,Number,Slovenia,2019,74.00
314,Adult,F,Number,Slovenia,2020,68.00
315,Adult,F,Number,Cyprus,2021,73.00
316,Adult,F,Number,Slovenia,2021,55.00
317,Adult,F,Number,Cyprus,2022,56.00
318,Adult,F,Number,Slovenia,2022,73.00
319,Adult,F,Number,Slovenia,2023,78.00
320,Adult,F,Number,Slovakia,2008,408.00
321,Adult,F,Number,Cyprus,2023,57.00
322,Adult,F,Number,Slovakia,2009,488.00
323,Adult,F,Number,Czechia,2008,1079.00
324,Adult,F,Number,Slovakia,2010,551.00
325,Adult,F,Number,Czechia,2009,999.00
326,Adult,F,Number,Slovakia,2011,618.00
327,Adult,F,Number,Czechia,2010,1282.00
328,Adult,F,Number,Slovakia,2012,646.00
329,Adult,F,Number,Czechia,2011,1480.00
330,Adult,F,Number,Slovakia,2013,583.00
331,Adult,F,Number,Slovakia,2014,611.00
332,Adult,F,Number,Czechia,2012,1446.00
333,Adult,F,Number,Slovakia,2015,628.00
334,Adult,F,Number,Czechia,2013,954.00
335,Adult,F,Number,Slovakia,2016,673.00
336,Adult,F,Number,Czechia,2014,1164.00
337,Adult,F,Number,Slovakia,2017,716.00
338,Adult,F,Number,Czechia,2015,1430.00
339,Adult,F,Number,Slovakia,2018,772.00
340,Adult,F,Number,Czechia,2016,1635.00
341,Adult,F,Number,Slovakia,2019,784.00
342,Adult,F,Number,Czechia,2017,1631.00
343,Adult,F,Number,Lithuania,2018,301.00
344,Adult,F,Number,Slovakia,2020,790.00
345,Adult,F,Number,Czechia,2018,1638.00
346,Adult,F,Number,Lithuania,2019,287.00
347,Adult,F,Number,Slovakia,2021,749.00
348,Adult,F,Number,Slovakia,2022,618.00
349,Adult,F,Number,Slovakia,2023,748.00
350,Adult,F,Number,Czechia,2019,1740.00
351,Adult,F,Number,Türkiye,2009,4013.00
352,Adult,F,Number,Lithuania,2020,252.00
353,Adult,F,Number,Lithuania,2021,216.00
354,Adult,F,Number,Türkiye,2010,4150.00
355,Adult,F,Number,Lithuania,2022,212.00
356,Adult,F,Number,Türkiye,2011,4539.00
357,Adult,F,Number,Czechia,2020,1564.00
358,Adult,F,Number,Lithuania,2023,206.00
359,Adult,F,Number,Türkiye,2012,4538.00
360,Adult,F,Number,Czechia,2021,1515.00
361,Adult,F,Number,Luxembourg,2008,32.00
362,Adult,F,Number,Türkiye,2013,5169.00
363,Adult,F,Number,Czechia,2022,1611.00
364,Adult,F,Number,Luxembourg,2009,38.00
365,Adult,F,Number,Türkiye,2014,5755.00
366,Adult,F,Number,Czechia,2023,1707.00
367,Adult,F,Number,Türkiye,2015,6435.00
368,Adult,F,Number,Germany,2008,3930.00
369,Adult,F,Number,Türkiye,2016,8294.00
370,Adult,F,Number,Germany,2009,3857.00
371,Adult,F,Number,Luxembourg,2010,23.00
372,Adult,F,Number,Türkiye,2017,9970.00
373,Adult,F,Number,Germany,2010,3845.00
374,Adult,F,Number,Luxembourg,2011,36.00
375,Adult,F,Number,Germany,2011,3927.00
376,Adult,F,Number,Luxembourg,2012,31.00
377,Adult,F,Number,Türkiye,2018,10323.00
378,Adult,F,Number,Luxembourg,2013,31.00
379,Adult,F,Number,Türkiye,2019,11337.00
380,Adult,F,Number,Türkiye,2020,10593.00
381,Adult,F,Number,Germany,2012,3943.00
382,Adult,F,Number,Türkiye,2021,11633.00
383,Adult,F,Number,Türkiye,2022,13975.00
384,Adult,F,Number,Germany,2013,3797.00
385,Adult,F,Number,Luxembourg,2014,25.00
386,Adult,F,Number,Türkiye,2023,12043.00
387,Adult,F,Number,Luxembourg,2015,40.00
388,Adult,F,Number,"England and Wales",2008,4339.00
389,Adult,F,Number,Luxembourg,2016,36.00
390,Adult,F,Number,Germany,2014,3639.00
391,Adult,F,Number,Luxembourg,2017,37.00
392,Adult,F,Number,"England and Wales",2009,4183.00
393,Adult,F,Number,Germany,2015,3609.00
394,Adult,F,Number,"England and Wales",2010,4197.00
395,Adult,F,Number,Denmark,2008,155.00
396,Adult,F,Number,"England and Wales",2011,4146.00
397,Adult,F,Number,Denmark,2009,178.00
398,Adult,F,Number,Luxembourg,2018,33.00
399,Adult,F,Number,Denmark,2010,183.00
400,Adult,F,Number,Luxembourg,2019,32.00
401,Adult,F,Number,"England and Wales",2012,4086.00
402,Adult,F,Number,Denmark,2011,164.00
403,Adult,F,Number,Luxembourg,2020,29.00
404,Adult,F,Number,"England and Wales",2013,3807.00
405,Adult,F,Number,Luxembourg,2021,34.00
406,Adult,F,Number,"England and Wales",2014,3901.00
407,Adult,F,Number,Luxembourg,2022,38.00
408,Adult,F,Number,"England and Wales",2015,3881.00
409,Adult,F,Number,"England and Wales",2016,3832.00
410,Adult,F,Number,"England and Wales",2017,3982.00
411,Adult,F,Number,Luxembourg,2023,28.00
412,Adult,F,Number,"England and Wales",2018,3782.00
413,Adult,F,Number,Latvia,2008,380.00
414,Adult,F,Number,"Scotland (NUTS 2021)",2008,367.00
415,Adult,F,Number,"Scotland (NUTS 2021)",2009,380.00
416,Adult,F,Number,Denmark,2012,149.00
417,Adult,F,Number,"Scotland (NUTS 2021)",2010,385.00
418,Adult,F,Number,Denmark,2013,189.00
419,Adult,F,Number,"Scotland (NUTS 2021)",2011,424.00
420,Adult,F,Number,Denmark,2014,145.00
421,Adult,F,Number,"Scotland (NUTS 2021)",2012,425.00
422,Adult,F,Number,Latvia,2009,402.00
423,Adult,F,Number,Denmark,2015,118.00
424,Adult,F,Number,"Scotland (NUTS 2021)",2013,406.00
425,Adult,F,Number,Latvia,2010,421.00
426,Adult,F,Number,Denmark,2016,150.00
427,Adult,F,Number,Latvia,2011,416.00
428,Adult,F,Number,"Scotland (NUTS 2021)",2014,399.00
429,Adult,F,Number,Latvia,2012,416.00
430,Adult,F,Number,"Scotland (NUTS 2021)",2015,393.00
431,Adult,F,Number,Latvia,2013,347.00
432,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2008,47.00
433,Adult,F,Number,Denmark,2017,135.00
434,Adult,F,Number,Latvia,2014,343.00
435,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2009,47.00
436,Adult,F,Number,Denmark,2018,132.00
437,Adult,F,Number,Latvia,2015,355.00
438,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2010,46.00
439,Adult,F,Number,Latvia,2016,349.00
440,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2011,45.00
441,Adult,F,Number,Denmark,2019,182.00
442,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2012,51.00
443,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2013,64.00
444,Adult,F,Number,Denmark,2020,189.00
445,Adult,F,Number,Latvia,2017,290.00
446,Adult,F,Number,Denmark,2021,184.00
447,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2014,58.00
448,Adult,F,Number,Latvia,2018,274.00
449,Adult,F,Number,Denmark,2022,203.00
450,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2015,43.00
451,Adult,F,Number,Latvia,2019,294.00
452,Adult,F,Number,Denmark,2023,211.00
453,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2016,48.00
454,Adult,F,Number,Estonia,2008,190.00
455,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2017,55.00
456,Adult,F,Number,Latvia,2020,255.00
457,Adult,F,Number,Estonia,2009,149.00
458,Adult,F,Number,Latvia,2021,267.00
459,Adult,F,Number,"Northern Ireland (UK) (NUTS 2021)",2018,64.00
460,Adult,F,Number,Estonia,2010,193.00
461,Adult,F,Number,Latvia,2022,248.00
462,Adult,F,Number,Kosovo*,2011,46.00
463,Adult,F,Number,Latvia,2023,248.00
464,Adult,F,Number,Kosovo*,2012,48.00
465,Adult,F,Number,Montenegro,2008,18.00
466,Adult,F,Number,Estonia,2011,181.00
467,Adult,F,Number,Kosovo*,2013,55.00
468,Adult,F,Number,Kosovo*,2014,59.00
469,Adult,F,Number,Montenegro,2009,39.00
470,Adult,F,Number,Kosovo*,2015,42.00
471,Adult,F,Number,Kosovo*,2016,41.00
472,Adult,F,Number,Estonia,2012,162.00
473,Adult,F,Number,Kosovo*,2017,37.00
474,Adult,F,Number,Estonia,2013,154.00
475,Adult,F,Number,Kosovo*,2018,41.00
476,Adult,F,Number,Estonia,2015,153.00
477,Adult,F,Number,Kosovo*,2019,47.00
478,Adult,F,Number,Estonia,2016,177.00
479,Adult,F,Number,Kosovo*,2020,34.00
480,Adult,F,Number,Estonia,2017,140.00
481,Adult,F,"Per hundred thousand inhabitants",Albania,2014,9.79
482,Adult,F,Number,Estonia,2018,122.00
483,Adult,F,"Per hundred thousand inhabitants",Albania,2015,10.78
484,Adult,F,Number,Estonia,2019,112.00
485,Adult,F,"Per hundred thousand inhabitants",Albania,2016,8.59
486,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2013,8.30
487,Adult,F,"Per hundred thousand inhabitants",Albania,2017,8.49
488,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2014,8.20
489,Adult,F,"Per hundred thousand inhabitants",Albania,2018,9.69
490,Adult,F,Number,Estonia,2020,97.00
491,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2015,7.84
492,Adult,F,"Per hundred thousand inhabitants",Albania,2019,7.58
493,Adult,F,Number,Estonia,2021,101.00
494,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2016,7.36
495,Adult,F,Number,Estonia,2022,102.00
496,Adult,F,Number,Estonia,2023,88.00
497,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2017,7.10
498,Adult,F,"Per hundred thousand inhabitants",Albania,2020,5.03
499,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2018,6.99
500,Adult,F,"Per hundred thousand inhabitants",Albania,2021,5.74
501,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2019,7.25
502,Adult,F,Number,Greece,2008,744.00
503,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2020,6.39
504,Adult,F,Number,Greece,2009,554.00
505,Adult,F,"Per hundred thousand inhabitants",Albania,2022,5.66
506,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2021,6.99
507,Adult,F,Number,Greece,2010,577.00
508,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2022,7.02
509,Adult,F,"Per hundred thousand inhabitants",Albania,2023,6.74
510,Adult,F,Number,Greece,2011,562.00
511,Adult,F,"Per hundred thousand inhabitants",Bulgaria,2023,8.07
512,Adult,F,"Per hundred thousand inhabitants",Austria,2008,11.33
513,Adult,F,"Per hundred thousand inhabitants",Switzerland,2008,9.43
514,Adult,F,"Per hundred thousand inhabitants",Austria,2009,13.08
515,Adult,F,"Per hundred thousand inhabitants",Switzerland,2009,10.75
516,Adult,F,"Per hundred thousand inhabitants",Austria,2010,14.60
517,Adult,F,"Per hundred thousand inhabitants",Switzerland,2010,9.81
518,Adult,F,"Per hundred thousand inhabitants",Austria,2011,15.87
519,Adult,F,Number,Greece,2012,557.00
520,Adult,F,"Per hundred thousand inhabitants",Switzerland,2011,9.16
521,Adult,F,"Per hundred thousand inhabitants",Austria,2012,15.89
522,Adult,F,Number,Greece,2013,648.00
523,Adult,F,"Per hundred thousand inhabitants",Switzerland,2012,9.21
524,Adult,F,Number,Greece,2014,561.00
525,Adult,F,"Per hundred thousand inhabitants",Switzerland,2013,10.33
526,Adult,F,Number,Greece,2015,482.00
527,Adult,F,"Per hundred thousand inhabitants",Switzerland,2014,9.26
528,Adult,F,"Per hundred thousand inhabitants",Austria,2013,14.95
529,Adult,F,Number,Greece,2016,515.00
530,Adult,F,"Per hundred thousand inhabitants",Switzerland,2015,10.31
531,Adult,F,Number,Greece,2017,543.00
532,Adult,F,"Per hundred thousand inhabitants",Switzerland,2016,10.80
533,Adult,F,"Per hundred thousand inhabitants",Austria,2014,13.82
534,Adult,F,Number,Greece,2018,543.00
535,Adult,F,"Per hundred thousand inhabitants",Switzerland,2017,9.02
536,Adult,F,"Per hundred thousand inhabitants",Austria,2015,13.66
537,Adult,F,"Per hundred thousand inhabitants",Switzerland,2018,10.85
538,Adult,F,"Per hundred thousand inhabitants",Austria,2016,13.03
539,Adult,F,"Per hundred thousand inhabitants",Switzerland,2019,11.03
540,Adult,F,"Per hundred thousand inhabitants",Switzerland,2020,9.67
541,Adult,F,"Per hundred thousand inhabitants",Switzerland,2021,10.34
542,Adult,F,Number,Greece,2019,487.00
543,Adult,F,"Per hundred thousand inhabitants",Switzerland,2022,10.29
544,Adult,F,Number,Greece,2020,524.00
545,Adult,F,"Per hundred thousand inhabitants",Switzerland,2023,10.39
546,Adult,F,Number,Greece,2021,534.00
547,Adult,F,"Per hundred thousand inhabitants",Cyprus,2008,13.57
548,Adult,F,Number,Greece,2022,530.00
549,Adult,F,"Per hundred thousand inhabitants",Cyprus,2009,9.81
550,Adult,F,Number,Greece,2023,496.00
551,Adult,F,"Per hundred thousand inhabitants",Cyprus,2010,13.53
552,Adult,F,"Per hundred thousand inhabitants",Cyprus,2011,10.16
553,Adult,F,Number,Spain,2008,5950.00
554,Adult,F,Number,Spain,2009,6076.00
555,Adult,F,"Per hundred thousand inhabitants",Cyprus,2012,12.32
