ID,offence,sex,unit_of_measure,country_territory,recorded_year,recorded_value
102,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2011,0.72
103,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2012,0.74
104,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2013,0.85
105,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2014,0.85
106,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2015,0.84
107,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2016,0.14
108,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2017,0.87
109,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2018,0.67
110,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2019,0.69
111,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2020,0.73
112,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2021,0.82
113,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2022,0.83
114,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2023,0.91
115,"Intentional homicide",Females,"Per hundred thousand inhabitants",Belgium,2008,0.94
116,"Intentional homicide",Females,"Per hundred thousand inhabitants",Belgium,2009,0.73
117,"Intentional homicide",Females,"Per hundred thousand inhabitants",Belgium,2010,0.81
118,"Intentional homicide",Females,Number,France,2019,509.00
119,"Intentional homicide",Females,"Per hundred thousand inhabitants",Belgium,2011,0.88
120,"Intentional homicide",Females,"Per hundred thousand inhabitants",Belgium,2012,1.12
121,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2008,1.35
122,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2009,1.38
123,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2010,1.42
124,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2011,1.14
125,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2012,0.98
126,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2013,0.91
127,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2014,0.97
128,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2015,1.00
129,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2016,1.01
130,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2017,0.93
131,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2018,1.08
132,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2019,1.00
133,"Intentional homicide",Females,Number,Portugal,2012,14.00
134,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2020,0.92
135,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2021,0.90
136,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2022,0.79
137,"Intentional homicide",Females,"Per hundred thousand inhabitants",Bulgaria,2023,1.76
138,"Intentional homicide",Females,Number,Portugal,2013,12.00
139,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2008,0.54
140,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2009,0.74
141,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2010,0.81
142,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2011,0.78
143,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2012,0.84
144,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2013,0.81
145,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2014,1.00
146,"Intentional homicide",Females,Number,Switzerland,2009,29.00
147,"Intentional homicide",Females,Number,Portugal,2014,15.00
148,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2015,1.03
149,"Intentional homicide",Females,Number,Switzerland,2010,32.00
150,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2016,1.09
151,"Intentional homicide",Females,Number,Switzerland,2011,31.00
152,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2017,1.15
153,"Intentional homicide",Females,Number,Switzerland,2012,34.00
154,"Intentional homicide",Females,Number,Portugal,2015,15.00
155,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2018,1.24
156,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2019,1.39
157,"Intentional homicide",Females,Number,Portugal,2016,16.00
158,"Intentional homicide",Females,Number,France,2020,384.00
159,"Intentional homicide",Females,Number,Portugal,2017,17.00
160,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2020,1.43
161,"Intentional homicide",Females,Number,Switzerland,2013,33.00
162,"Intentional homicide",Females,Number,France,2021,374.00
163,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2021,1.37
164,"Intentional homicide",Females,Number,Switzerland,2014,41.00
165,"Intentional homicide",Females,Number,Switzerland,2015,43.00
166,"Intentional homicide",Females,Number,Switzerland,2016,46.00
167,"Intentional homicide",Females,"Per hundred thousand inhabitants",Switzerland,2022,1.23
168,"Intentional homicide",Females,"Per hundred thousand inhabitants",Cyprus,2009,0.00
169,"Intentional homicide",Females,"Per hundred thousand inhabitants",Cyprus,2010,0.24
170,"Intentional homicide",Females,"Per hundred thousand inhabitants",Cyprus,2011,0.23
171,"Intentional homicide",Females,Number,Switzerland,2017,49.00
172,"Intentional homicide",Females,Number,Switzerland,2018,53.00
173,"Intentional homicide",Females,Number,Switzerland,2019,60.00
174,"Intentional homicide",Females,"Per hundred thousand inhabitants",Cyprus,2012,0.23
175,"Intentional homicide",Females,"Per hundred thousand inhabitants",Cyprus,2013,0.45
176,"Intentional homicide",Females,"Per hundred thousand inhabitants",Cyprus,2022,0.43
177,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2011,1.80
178,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2012,1.66
179,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2013,1.79
180,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2014,2.00
181,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2015,2.01
182,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2016,2.22
183,"Intentional homicide",Females,Number,Portugal,2018,17.00
184,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2017,2.12
185,"Intentional homicide",Females,Number,Portugal,2019,15.00
186,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2018,2.21
187,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2019,2.02
188,"Intentional homicide",Females,Number,Switzerland,2020,62.00
189,"Intentional homicide",Females,Number,Switzerland,2021,60.00
190,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2020,2.12
191,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2021,2.01
192,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2022,2.23
193,"Intentional homicide",Females,Number,Switzerland,2022,54.00
194,"Intentional homicide",Females,Number,Cyprus,2009,0.00
195,"Intentional homicide",Females,Number,Cyprus,2010,1.00
196,"Intentional homicide",Females,"Per hundred thousand inhabitants",Czechia,2023,1.99
197,"Intentional homicide",Females,Number,Cyprus,2011,1.00
198,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2013,0.61
199,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2014,0.56
200,"Intentional homicide",Females,Number,Cyprus,2012,1.00
201,"Intentional homicide",Females,Number,Cyprus,2013,2.00
202,"Intentional homicide",Females,Number,Portugal,2020,11.00
203,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2015,0.55
204,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2016,0.51
205,"Intentional homicide",Females,Number,Cyprus,2022,2.00
206,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2017,0.49
207,"Intentional homicide",Females,Number,Czechia,2011,96.00
208,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2018,0.51
209,"Intentional homicide",Females,Number,Czechia,2012,89.00
210,"Intentional homicide",Females,Number,Portugal,2021,16.00
211,"Intentional homicide",Females,Number,Czechia,2013,96.00
212,"Intentional homicide",Females,Number,Portugal,2022,13.00
213,"Intentional homicide",Females,Number,Romania,2008,277.00
214,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2019,0.51
215,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2020,0.53
216,"Intentional homicide",Females,Number,Czechia,2014,107.00
217,"Intentional homicide",Females,Number,Czechia,2015,108.00
218,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2021,0.51
219,"Intentional homicide",Females,Number,Czechia,2016,119.00
220,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2022,0.51
221,"Intentional homicide",Females,"Per hundred thousand inhabitants",Germany,2023,0.52
222,"Intentional homicide",Females,Number,Romania,2009,267.00
223,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2008,0.51
224,"Intentional homicide",Females,Number,Romania,2010,259.00
225,"Intentional homicide",Females,Number,Czechia,2017,114.00
226,"Intentional homicide",Females,Number,Romania,2011,261.00
227,"Intentional homicide",Females,Number,Czechia,2018,119.00
228,"Intentional homicide",Females,Number,Romania,2012,237.00
229,"Intentional homicide",Females,Number,Czechia,2019,109.00
230,"Intentional homicide",Females,Number,Czechia,2020,115.00
231,"Intentional homicide",Females,Number,Romania,2013,245.00
232,"Intentional homicide",Females,Number,Czechia,2021,109.00
233,"Intentional homicide",Females,Number,Romania,2014,249.00
234,"Intentional homicide",Females,Number,Czechia,2022,119.00
235,"Intentional homicide",Females,Number,Romania,2015,254.00
236,"Intentional homicide",Females,Number,Czechia,2023,110.00
237,"Intentional homicide",Females,Number,Romania,2016,246.00
238,"Intentional homicide",Females,Number,Germany,2013,249.00
239,"Intentional homicide",Females,Number,Romania,2017,205.00
240,"Intentional homicide",Females,Number,Germany,2014,229.00
241,"Intentional homicide",Females,Number,Romania,2018,182.00
242,"Intentional homicide",Females,Number,Romania,2019,172.00
243,"Intentional homicide",Females,Number,Germany,2015,229.00
244,"Intentional homicide",Females,Number,Romania,2020,187.00
245,"Intentional homicide",Females,Number,Germany,2016,211.00
246,"Intentional homicide",Females,Number,Germany,2017,204.00
247,"Intentional homicide",Females,Number,Germany,2018,212.00
248,"Intentional homicide",Females,Number,Romania,2021,221.00
249,"Intentional homicide",Females,Number,Romania,2022,184.00
250,"Intentional homicide",Females,Number,Romania,2023,210.00
251,"Intentional homicide",Females,Number,Germany,2019,215.00
252,"Intentional homicide",Females,Number,Serbia,2013,50.00
253,"Intentional homicide",Females,Number,Germany,2020,222.00
254,"Intentional homicide",Females,Number,Serbia,2014,52.00
255,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2009,0.50
256,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2010,0.54
257,"Intentional homicide",Females,Number,Germany,2021,213.00
258,"Intentional homicide",Females,Number,Germany,2022,215.00
259,"Intentional homicide",Females,Number,Serbia,2015,50.00
260,"Intentional homicide",Females,Number,Germany,2023,221.00
261,"Intentional homicide",Females,Number,Denmark,2008,14.00
262,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2011,0.64
263,"Intentional homicide",Females,Number,Serbia,2016,46.00
264,"Intentional homicide",Females,Number,Serbia,2017,42.00
265,"Intentional homicide",Females,Number,Denmark,2009,14.00
266,"Intentional homicide",Females,Number,Serbia,2018,36.00
267,"Intentional homicide",Females,Number,Denmark,2010,15.00
268,"Intentional homicide",Females,Number,Serbia,2019,48.00
269,"Intentional homicide",Females,Number,Serbia,2020,50.00
270,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2012,0.57
271,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2013,0.50
272,"Intentional homicide",Females,Number,Denmark,2011,18.00
273,"Intentional homicide",Females,Number,Serbia,2021,23.00
274,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2014,0.46
275,"Intentional homicide",Females,Number,Denmark,2012,16.00
276,"Intentional homicide",Females,Number,Denmark,2013,14.00
277,"Intentional homicide",Females,Number,Denmark,2014,13.00
278,"Intentional homicide",Females,Number,Denmark,2015,9.00
279,"Intentional homicide",Females,Number,Serbia,2022,44.00
280,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2015,0.32
281,"Intentional homicide",Females,Number,Serbia,2023,55.00
282,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2016,0.31
283,"Intentional homicide",Females,Number,Denmark,2016,9.00
284,"Intentional homicide",Females,Number,Sweden,2008,28.00
285,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2017,0.42
286,"Intentional homicide",Females,Number,Sweden,2009,29.00
287,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2018,0.31
288,"Intentional homicide",Females,Number,Sweden,2010,25.00
289,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2019,0.41
290,"Intentional homicide",Females,Number,Sweden,2011,28.00
291,"Intentional homicide",Females,Number,Denmark,2017,12.00
292,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2020,0.38
293,"Intentional homicide",Females,Number,Denmark,2018,9.00
294,"Intentional homicide",Females,Number,Denmark,2019,12.00
295,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2021,0.27
296,"Intentional homicide",Females,Number,Denmark,2020,11.00
297,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2022,0.47
298,"Intentional homicide",Females,Number,Denmark,2021,8.00
299,"Intentional homicide",Females,"Per hundred thousand inhabitants",Denmark,2023,0.37
300,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2010,4.49
301,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2011,3.52
302,"Intentional homicide",Females,Number,Sweden,2012,26.00
303,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2013,3.98
304,"Intentional homicide",Females,Number,Sweden,2013,29.00
305,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2015,3.28
306,"Intentional homicide",Females,Number,Sweden,2014,25.00
307,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2016,3.00
308,"Intentional homicide",Females,Number,Sweden,2015,28.00
309,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2017,2.58
310,"Intentional homicide",Females,Number,Sweden,2016,31.00
311,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2018,2.15
312,"Intentional homicide",Females,Number,Sweden,2017,33.00
313,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2019,2.29
314,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2020,1.86
315,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2021,1.86
316,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2022,2.15
317,"Intentional homicide",Females,"Per hundred thousand inhabitants",Estonia,2023,1.53
318,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2008,0.78
319,"Intentional homicide",Females,Number,Sweden,2018,38.00
320,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2009,0.73
321,"Intentional homicide",Females,Number,Sweden,2019,41.00
322,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2010,0.37
323,"Intentional homicide",Females,Number,Sweden,2020,45.00
324,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2011,0.78
325,"Intentional homicide",Females,Number,Sweden,2021,55.00
326,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2012,0.81
327,"Intentional homicide",Females,Number,Sweden,2022,61.00
328,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2013,0.92
329,"Intentional homicide",Females,Number,Sweden,2023,60.00
330,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2014,1.06
331,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2015,0.88
332,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2016,1.21
333,"Intentional homicide",Females,Number,Slovenia,2016,4.00
334,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2017,1.03
335,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2018,0.89
336,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2019,0.98
337,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2020,1.07
338,"Intentional homicide",Females,Number,Slovenia,2017,3.00
339,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2021,1.08
340,"Intentional homicide",Females,Number,Slovenia,2018,5.00
341,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2022,1.12
342,"Intentional homicide",Females,Number,Slovenia,2019,6.00
343,"Intentional homicide",Females,"Per hundred thousand inhabitants",Greece,2023,1.01
344,"Intentional homicide",Females,Number,Slovenia,2020,5.00
345,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2008,0.65
346,"Intentional homicide",Females,Number,Slovenia,2021,4.00
347,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2009,0.74
348,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2010,0.83
349,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2011,0.79
350,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2012,0.99
351,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2013,1.08
352,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2014,1.10
353,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2015,1.18
354,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2016,1.27
355,"Intentional homicide",Females,Number,Denmark,2022,14.00
356,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2017,1.34
357,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2018,0.26
358,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2019,1.21
359,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2020,1.19
360,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2021,1.31
361,"Intentional homicide",Females,Number,Denmark,2023,11.00
362,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2022,1.35
363,"Intentional homicide",Females,Number,Estonia,2010,32.00
364,"Intentional homicide",Females,"Per hundred thousand inhabitants",Spain,2023,1.22
365,"Intentional homicide",Females,Number,Estonia,2011,25.00
366,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2008,2.00
367,"Intentional homicide",Females,Number,Estonia,2013,28.00
368,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2009,1.92
369,"Intentional homicide",Females,Number,Estonia,2015,23.00
370,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2010,2.13
371,"Intentional homicide",Females,Number,Estonia,2016,21.00
372,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2011,2.05
373,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2012,2.18
374,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2013,2.32
375,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2014,1.91
376,"Intentional homicide",Females,Number,Estonia,2017,18.00
377,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2015,2.16
378,"Intentional homicide",Females,Number,Estonia,2018,15.00
379,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2016,1.94
380,"Intentional homicide",Females,Number,Estonia,2019,16.00
381,"Intentional homicide",Females,Number,Estonia,2020,13.00
382,"Intentional homicide",Females,Number,Estonia,2021,13.00
383,"Intentional homicide",Females,Number,Estonia,2022,15.00
384,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2017,1.83
385,"Intentional homicide",Females,Number,Slovenia,2022,4.00
386,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2018,1.61
387,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2019,1.61
388,"Intentional homicide",Females,Number,Slovenia,2023,5.00
389,"Intentional homicide",Females,Number,Slovakia,2014,33.00
390,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2020,1.39
391,"Intentional homicide",Females,Number,Slovakia,2015,30.00
392,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2021,1.54
393,"Intentional homicide",Females,Number,Slovakia,2016,31.00
394,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2022,1.39
395,"Intentional homicide",Females,Number,Slovakia,2017,28.00
396,"Intentional homicide",Females,Number,Slovakia,2018,32.00
397,"Intentional homicide",Females,"Per hundred thousand inhabitants",Finland,2023,1.07
398,"Intentional homicide",Females,Number,Slovakia,2019,35.00
399,"Intentional homicide",Females,"Per hundred thousand inhabitants",France,2008,0.74
400,"Intentional homicide",Females,"Per hundred thousand inhabitants",France,2009,0.72
401,"Intentional homicide",Females,Number,Slovakia,2020,33.00
402,"Intentional homicide",Females,Number,Slovakia,2021,39.00
403,"Intentional homicide",Females,"Per hundred thousand inhabitants",France,2010,0.74
404,"Intentional homicide",Females,Number,Slovakia,2023,42.00
405,"Intentional homicide",Females,"Per hundred thousand inhabitants",France,2011,0.75
406,"Intentional homicide",Females,Number,Türkiye,2009,48.00
