DATAFLOW,LAST UPDATE,freq,iccs,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2011,31,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2012,32,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2013,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2014,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2015,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2016,6,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2017,39,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2018,30,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2019,31,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2020,33,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2021,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2022,38,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2023,42,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2013,20,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2014,21,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2015,20,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2016,10,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2018,10,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2019,25,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2020,24,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2021,22,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2022,22,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bosnia and Herzegovina,2023,0,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Belgium,2008,51,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Belgium,2009,40,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Belgium,2010,45,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Belgium,2011,49,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Belgium,2012,63,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2008,52,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2009,53,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2010,54,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2011,43,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2012,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2013,34,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2014,36,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2015,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2016,37,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2017,34,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2018,39,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2019,36,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2020,33,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2021,32,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2022,28,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Bulgaria,2023,59,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2008,21,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2009,29,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2010,32,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2011,31,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2012,34,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2013,33,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2014,41,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2015,43,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2016,46,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2017,49,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2018,53,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2019,60,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2020,62,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2021,60,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Switzerland,2022,54,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Cyprus,2009,0,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Cyprus,2010,1,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Cyprus,2011,1,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Cyprus,2012,1,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Cyprus,2013,2,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Cyprus,2022,2,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2011,96,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2012,89,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2013,96,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2014,107,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2015,108,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2016,119,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2017,114,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2018,119,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2019,109,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2020,115,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2021,109,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2022,119,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Czechia,2023,110,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2013,249,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2014,229,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2015,229,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2016,211,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2017,204,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2018,212,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2019,215,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2020,222,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2021,213,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2022,215,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Germany,2023,221,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2008,14,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2009,14,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2010,15,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2011,18,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2012,16,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2013,14,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2014,13,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2015,9,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2016,9,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2017,12,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2018,9,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2019,12,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2020,11,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2021,8,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2022,14,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Denmark,2023,11,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2010,32,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2011,25,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2013,28,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2015,23,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2016,21,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2017,18,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2018,15,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2019,16,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2020,13,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2021,13,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2022,15,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Estonia,2023,11,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2008,44,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2009,41,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2010,21,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2011,44,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2012,46,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2013,52,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2014,60,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2015,49,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2016,67,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2017,57,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2018,49,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2019,54,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2020,59,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2021,59,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2022,60,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Greece,2023,54,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2008,150,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2009,172,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2010,195,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2011,187,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2012,234,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2013,257,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2014,259,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2015,278,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2016,300,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2017,317,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2018,61,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2019,289,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2020,287,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2021,317,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2022,326,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Spain,2023,298,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2008,54,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2009,52,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2010,58,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2011,56,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2012,60,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2013,64,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2014,53,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2015,60,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2016,54,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2017,51,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2018,45,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2019,45,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2020,39,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2021,43,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2022,39,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Finland,2023,30,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2008,245,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2009,240,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2010,246,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2011,253,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2012,254,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2013,327,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2014,309,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2015,210,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2016,334,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2017,468,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2018,487,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2019,509,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2020,384,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2021,374,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,France,2023,407,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2008,15,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2009,24,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2010,16,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2012,13,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2013,17,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2014,15,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2015,16,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2018,18,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2019,20,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2020,17,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Croatia,2021,21,,
